                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0233,                   3.37,                 1.9438,                0.28149,                0.27621,                0.17204,                0.07402,                 1.7183,                 3.4617,                 1.6119,             0.00043342,             0.00043342,             0.00043342
                      2,                 1.7309,                 2.6117,                 1.6536,                0.21059,                 0.2646,                0.11237,                0.03763,                 2.0873,                 3.3406,                 2.0328,             0.00083978,             0.00083978,             0.00083978
                      3,                  1.753,                 2.5695,                 1.6973,                0.17279,                0.22222,                0.15545,                0.04172,                 2.3808,                 6.0793,                 2.7543,              0.0012016,              0.0012016,              0.0012016
                      4,                  1.804,                 2.3624,                  1.665,                0.25755,                0.39642,                0.23185,                0.09974,                 2.0293,                 4.3243,                 1.9245,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.7337,                 2.2372,                 1.6368,                0.17487,                0.49609,                0.16927,                0.05522,                 2.1317,                 4.0273,                 2.0768,              0.0014195,              0.0014195,              0.0014195
                      6,                 1.7862,                 2.2714,                 1.6859,                0.21253,                 0.4049,                0.22064,                0.07523,                 2.1055,                 4.5329,                 2.1232,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.7169,                 2.1049,                 1.6001,                0.32186,                0.45951,                0.31955,                0.12363,                 1.9718,                 2.8819,                 1.8424,              0.0012544,              0.0012544,              0.0012544
                      8,                 1.6836,                 2.0937,                 1.6355,                0.23113,                0.52196,                0.24763,                0.09463,                 1.9387,                 2.6535,                 1.8689,              0.0011719,              0.0011719,              0.0011719
                      9,                 1.6439,                 1.9251,                 1.5829,                0.26335,                0.48493,                0.28651,                0.12946,                 1.7849,                  2.396,                 1.7175,              0.0010894,              0.0010894,              0.0010894
                     10,                 1.6616,                 1.8765,                  1.595,                 0.2737,                   0.55,                0.24035,                0.09161,                 1.9461,                 2.3325,                 1.8238,              0.0010069,              0.0010069,              0.0010069
                     11,                 1.6285,                 2.0406,                 1.6449,                 0.5694,                0.52888,                0.49936,                0.25225,                 1.7406,                 2.0873,                 1.6794,             0.00092435,             0.00092435,             0.00092435
                     12,                 1.6033,                 1.9163,                 1.6721,                0.40028,                0.55367,                0.43672,                0.19341,                 1.8815,                  2.212,                 1.7261,             0.00084184,             0.00084184,             0.00084184
                     13,                  1.589,                 1.8202,                 1.6008,                0.50123,                0.60593,                0.49925,                0.21116,                 1.7543,                 1.9232,                 1.6341,             0.00075932,             0.00075932,             0.00075932
                     14,                 1.5941,                 1.8067,                 1.6065,                0.54996,                0.58223,                0.56965,                0.23193,                 1.7458,                 1.8899,                 1.6329,              0.0006768,              0.0006768,              0.0006768
                     15,                 1.4875,                 1.6642,                 1.5342,                0.62923,                0.53722,                0.58199,                0.26298,                 1.7022,                 1.8473,                 1.5726,             0.00059429,             0.00059429,             0.00059429
                     16,                  1.482,                 1.5876,                 1.5063,                0.69776,                0.60197,                0.63107,                0.31438,                 1.7819,                 1.7656,                 1.6792,             0.00051177,             0.00051177,             0.00051177
                     17,                 1.4379,                 1.4955,                 1.4775,                0.62019,                0.61456,                0.62342,                0.32577,                 1.7243,                 1.7281,                 1.6152,             0.00042925,             0.00042925,             0.00042925
                     18,                 1.4513,                 1.4844,                 1.4672,                0.64603,                0.59837,                0.62403,                0.30917,                 1.7308,                 1.7395,                 1.5877,             0.00034674,             0.00034674,             0.00034674
                     19,                 1.4074,                 1.4622,                 1.4937,                0.67737,                0.62673,                0.66763,                0.34299,                 1.6733,                 1.6577,                 1.5588,             0.00026422,             0.00026422,             0.00026422
                     20,                 1.3649,                 1.4228,                 1.4756,                0.59605,                0.65998,                0.66907,                0.34429,                 1.6385,                 1.6364,                 1.5377,              0.0001817,              0.0001817,              0.0001817
